English,Magyar
hands,kezek
minutes,percek
deal,üzlet/kezel
different,különböző/más
means,jelent/eszközök
point,pont/lényeg
inside,bent/belül
makes,csinál/készít
asked,kérdezte
somebody,valaki
mine,az enyém/bánya
making,csinál/készít
body,test/holttest
afraid,fél/tart
sleep,alszik/alvás
chance,esély/lehetőség
dear,drága/kedves
quite,elég/teljesen
four,négy
anyway,mindenesetre/egyébként
close,közeli/bezár
ain,nem (rövidítés)
party,buli/párt
fun,móka/szórakozás
against,ellen
word,szó
comes,jön
important,fontos
set,készlet/beállít
shall,fog (segédige)
story,történet/sztori
number,szám
daughter,lánya/leánya
least,legkevesebb/legalább
waiting,vár
hurt,fáj/bánt
wish,kíván/kívánság
moment,pillanat
fight,harc/harcol
week,hét
husband,férj/férje
girls,lányok
rest,pihen/maradék
married,házas/férjhez ment
fire,tűz
game,játék
nobody,senki
mr,úr
children,gyerekek
side,oldal
stand,áll/állvány
read,olvas
though,bár/habár/azért
cut,vág/vágás
started,kezdett
sister,nővér/lánytestvér
supposed,feltételezett/kellene
between,között
child,gyerek
goes,megy
hours,órák
speak,beszél
women,nők
behind,mögött
almost,majdnem/csaknem
truth,igazság
blood,vér
able,képes
lady,hölgy
anymore,többé/már
playing,játszik
gets,kap/szerez
shot,lövés/lőtt
reason,ok/indok
trouble,baj/gond
break,tör/szünet
war,háború
city,város
walk,sétál/séta
town,város/városka
trust,bizalom/megbízik
dr.,doktor
met,találkozott
office,iroda/hivatal
question,kérdés
brought,hozott
yours,a tiéd/az öné
welcome,szívesen/üdvözöl
high,magas/magasan
wow,hűha/tyű
couple,pár/néhány
half,fél/fele
died,meghalt
cool,hűvös/menő
free,szabad/ingyenes
either,vagy/bármelyik
seems,úgy tűnik
power,hatalom/erő
whoa,húha/állj
bye,szia/viszlát
buy,vesz/vásárol
telling,mond/mesél
honey,méz/édesem
tried,próbálta
front,eleje/elülső
team,csapat
answer,válasz/válaszol
gun,fegyver/pisztoly
boys,fiúk
line,vonal/sor
send,küld
news,hírek
stupid,hülye/buta
bed,ágy
hurry,siet/siessen
full,tele/teljes
months,hónapok
save,ment/megment
sometimes,néha/olykor
become,lesz/válik
along,együtt/mellett
hate,utál/gyűlöl
food,étel/élelem
outside,kívül/kint
light,fény/könnyű
l,l (rövidítés)
needs,kell/igényel
dog,kutya
country,ország/vidék
clear,tiszta/egyértelmű
order,rend/rendel
em,őket (régi angol)
fact,tény
lord,úr/lord
captain,kapitány
six,hat
hot,forró/meleg
funny,vicces/furcsa
black,fekete
mrs.,asszony/mrs.
alive,élő/életben
pick,választ/szed
feeling,érzés/érzet
living,élő/él
cause,ok/okoz
ahead,előre/elöl
lose,veszít/elveszít
king,király
plan,terv/tervez
dinner,vacsora
sighs,sóhajt
sort,fajta/rendez
leaving,elhagy/távozik
shouldn,nem kellene (rövidítés)
running,fut/szalad
boss,főnök
alright,rendben/oké
promise,ígéret/ígér
taken,elvett/foglalt
safe,biztonságos/széf
ma,mama/ma'am
book,könyv/foglal
sent,küldött
white,fehér
hour,óra
anybody,bárki/valaki
small,kicsi/apró
perfect,tökéletes
lives,él/életeket
special,különleges/speciális
parents,szülők
himself,önmaga/maga
perhaps,talán/esetleg
sounds,hangzik/hangok
serious,komoly/súlyos
sick,beteg/rosszul
company,cég/társaság
ha,ha/haha
scared,fél/ijedt
uncle,nagybácsi
poor,szegény
red,piros/vörös
past,múlt/elmúlt
earth,föld
possible,lehetséges
shoot,lő/lövés
touch,érint/megérint
sound,hang/hangzik
top,teteje/legfelső
ass,segg/szamár
laughs,nevet
cannot,nem tud/nem lehet
asking,kérdez
win,nyer/győz
glad,örül
control,kontroll/irányít
hmm,hmm/hm
human,emberi/ember
drive,vezet/hajt
hair,haj
jack,Jack (név)/emelő
bitch,kurva/szuka
luck,szerencse
murder,gyilkosság
happens,történik
air,levegő
ten,tíz
daddy,apuci/apu
finally,végre/végül
chuckles,kuncog/vihorász
fast,gyors
cold,hideg
seem,tűnik/látszik
laughing,nevet
words,szavak
hospital,kórház
street,utca
hang,lóg/függeszt
dance,tánc/táncol
meeting,találkozó/ülés
till,amíg/-ig
others,mások
catch,elkap/fog
follow,követ
sense,értelem/érzék
sex,szex/nemi
lie,hazudik/fekszik
evening,este
master,mester/úr
known,ismert/tudott
dream,álom/álmodik
write,ír
million,millió
voice,hang/szavazat
sweet,édes
rather,inkább/eléggé
felt,érzett
sign,jel/aláír
lucky,szerencsés
somewhere,valahol
bet,fogad/fogadás
o,ó/ó
jesus,Jézus
longer,hosszabb/már nem
calling,hív
worked,dolgozott/működött
quiet,csendes/csend
looked,nézett
less,kevesebb
pull,húz
beat,üt/ver
careful,óvatos/vigyázz
coffee,kávé
return,visszatér/visszatérés
secret,titok/titkos
weeks,hetek
weren,nem voltak (rövidítés)
date,dátum/randevú
seeing,lát/látni
fall,esik/ősz
given,adott
ooh,ó/óóó
fault,hiba/vétke
straight,egyenes/őszinte
takes,vesz/fog
song,dal/ének
future,jövő
gentlemen,urak
loved,szerette
changed,változott/megváltozott
road,út
calm,nyugodt/megnyugszik
wonderful,csodálatos
mad,őrült/dühös
turned,fordult/fordított
drop,csepp/ejt
ladies,hölgyek
learn,tanul/megtanul
step,lépés/lép
absolutely,teljesen/abszolút
early,korai/korán
explain,magyaráz/megmagyaráz
clean,tiszta/tisztít
piece,darab/rész
yesterday,tegnap
throw,dob/hajít
picture,kép/fénykép
land,föld/szárazföld
feet,lábak/láb (mértékegység)
wonder,csoda/kíváncsi
questions,kérdések
speaking,beszél
worth,ér/megér
darling,drágám/kedves
dude,fickó/csávó
giving,ad/adás
president,elnök
eye,szem
quick,gyors
moving,mozog/költözik
figure,alak/kitalál
state,állam/állapot
strong,erős
none,egyik sem/semmi
amazing,csodálatos/elképesztő
ones,azok/egyek
works,működik/művek
act,cselekedet/színészkedik
needed,kellett/szükséges volt
weird,furcsa/különös
law,törvény/jog
worried,aggódik/aggódott
report,jelentés/jelent
goodbye,viszlát/búcsú
missing,hiányzik/eltűnt
choice,választás/választék
happening,történik
chief,főnök/vezető
wedding,esküvő/lagzi
strange,furcsa/különös
general,általános/tábornok
pain,fájdalom
kidding,viccel/tréfál
decided,döntött
ya,te/ja
pass,átad/elmegy
tired,fáradt/belefáradt
class,osztály/óra
officer,tiszt/rendőr
kept,tartotta/megtartott
wake,ébred/felébreszt
worse,rosszabb
busy,elfoglalt
eh,eh/mi
mistake,hiba/tévedés
kiss,csók/csókol
court,bíróság/udvar
building,épület
finish,befejez/vége
during,során/alatt
age,kor/életkor
ship,hajó/szállít
caught,elkapott/megfogott
marry,házasodik/feleségül vesz
meant,jelentett/akart
sell,elad
dark,sötét
watching,néz/figyel
system,rendszer
suppose,feltesz/gondol
evidence,bizonyíték
movie,film/mozi
ride,lovagol/utazás
completely,teljesen
mouth,száj
totally,teljesen/totálisan
birthday,születésnap
tv,tévé
forgive,megbocsát
born,született
imagine,elképzel
information,információ
instead,helyette/inkább
definitely,határozottan/biztosan
security,biztonság
certainly,bizonyosan/persze
film,film
month,hónap
lying,hazudik/fekszik
unless,hacsak nem/kivéve ha
train,vonat/gyakorol
seven,hét
wear,visel/hord
clothes,ruha/ruhák
hotel,szálloda/hotel
christmas,karácsony
attack,támadás/támad
hasn,nem (rövidítés)
round,kör/kerek
expect,vár/elvár
sing,énekel
terrible,szörnyű/rettenetes
bag,táska/zsák
history,történelem
blue,kék
near,közel
broke,tört/csóró
station,állomás
seriously,komolyan
forever,örökre/mindörökké
frank,Frank (név)/őszinte
except,kivéve/csak
thinks,gondol
message,üzenet
entire,teljes/egész
table,asztal
talked,beszélt
across,át/keresztül
rock,szikla/rock zene
lovely,kedves/bájos
handle,fogantyú/kezel
middle,közép/középső
buddy,haver/cimbora
paid,fizetett
protect,véd/megvéd
using,használ
floor,padló/emelet
ran,futott/szaladt
swear,esküszik/káromkodik
spend,tölt/költ
situation,helyzet/szituáció
ring,gyűrű/cseng
anywhere,bárhol/akárhol
dangerous,veszélyes
bill,számla/Bill (név)
york,York (város)
army,hadsereg
lead,vezet/ólom
bought,vett/vásárolt
finished,befejezett/kész
fair,igazságos/vásár
sun,nap
letter,levél/betű
fool,bolond/becsap
attention,figyelem
club,klub
simple,egyszerű
interesting,érdekes
space,tér/űr
test,teszt/vizsga
box,doboz/ökölvívás
group,csoport
single,egyetlen/szingli
sitting,ül
marriage,házasság
join,csatlakozik/egyesül
fear,félelem/fél
peace,béke
forgot,elfelejtett
force,erő/kényszerít
short,rövid/alacsony
normal,normális/szokásos
present,jelen/ajándék
enjoy,élvez/jól szórakozik
crime,bűncselekmény
horse,ló
ground,föld/talaj
american,amerikai
count,számol/gróf
area,terület
charge,vád/tölt
honor,tisztelet/megtisztel
lunch,ebéd
miles,mérföldek
radio,rádió
idiot,idióta/hülye
ball,labda/bál
surprise,meglepetés/meglepő
paper,papír
key,kulcs
boat,csónak/hajó
quickly,gyorsan
gold,arany
bar,bár/rúd
fish,hal/horgászik
mark,Mark (név)/jel
wearing,visel/hord
crying,sír
accident,baleset
government,kormány
eight,nyolc
fell,esett
cover,fed/borít
certain,bizonyos
interested,érdekelt/érdeklődik
deep,mély
star,csillag
sea,tenger
agree,egyetért
problems,problémák/gondok
detective,nyomozó/detektív
prison,börtön
major,fő/őrnagy
stick,bot/ragaszt
offer,ajánlat/kínál
difficult,nehéz
smart,okos/ügyes
personal,személyes
record,rekord/felvétel
stopped,megállt/leállított
hide,elrejt/bőr
whether,hogy/vajon
bank,bank/part
trip,utazás/kirándulás
relax,pihen/lazít
america,Amerika
public,nyilvános/közönség
list,lista
afternoon,délután
brain,agy
fix,javít/megjavít
bastard,rohadék/fattyú
proud,büszke
tea,tea
service,szolgálat/szerviz
screaming,sikít/üvölt
forward,előre
angry,dühös/mérges
park,park/parkol
soul,lélek
fighting,harc/harcol
rich,gazdag
agent,ügynök
blow,fúj/ütés
dress,ruha/öltözik
missed,hiányzott/nem talált
scene,jelenet/színhely
killing,gyilkolás/öl
standing,áll
saved,megmentett
mm,mm/hm
respect,tisztelet/tisztel
killer,gyilkos
ice,jég
mess,rendetlenség/kaosz
tough,kemény/nehéz
feels,érez
church,templom/egyház
sad,szomorú
cell,cella/sejt
drunk,részeg
share,oszt/részvény
camera,fényképezőgép/kamera
mm-hmm,mm-hmm/ühüm
within,belül/-n belül
card,kártya
fly,repül/légy
girlfriend,barátnő
laugh,nevet/nevetés
smell,szagol/szag
broken,törött
mum,anyu/anya
honest,őszinte
often,gyakran
starting,kezd/kezdés
calls,hívások/hív
y,y (rövidítés)
spent,töltött/költött
third,harmadik
english,angol
visit,látogatás/meglátogat
mama,mama/anyu
judge,bíró/ítél
window,ablak
hungry,éhes
dare,mer/merne
relationship,kapcsolat
moved,költözött/mozgatott
prove,bizonyít
private,magán/privát
wall,fal
seat,ülés/hely
i-i,é-én (dadogás)
position,pozíció/helyzet
lieutenant,hadnagy
realize,rájön/felismeri
lt,hadnagy (rövidítés)
especially,különösen
machine,gép
walking,sétál/gyaloglás
art,művészet
pleasure,öröm/élvezet
bloody,véres/rohadt
college,főiskola/kollégium
french,francia
involved,érintett/részt vesz
cry,sír/sírás
became,lett/vált
lived,élt/lakott
impossible,lehetetlen
obviously,nyilvánvalóan/egyértelműen
neither,egyik sem/sem
accept,elfogad
boyfriend,barát/fiú barát
besides,ráadásul/mellett
queen,királynő
teacher,tanár/tanító
cops,zsaruk/rendőrök
sake,kedvéért/miatt
loves,szeret
carry,hord/visz
teach,tanít
apartment,lakás/apartman
upset,felzaklatott/ideges
green,zöld
la,la (hang/Los Angeles)
liked,tetszett/szerette
cute,cuki/aranyos
evil,gonosz/rossz
professor,professzor
contact,kapcsolat/kapcsolatba lép
joke,vicc/tréfa
cop,zsaru/rendőr
huge,hatalmas/óriási
holy,szent
store,bolt/áruház
jail,börtön
likes,tetszik/szeret
lawyer,ügyvéd
doubt,kétség/kételkedik
continue,folytat/tovább
appreciate,értékel/méltányol
cat,macska
shop,bolt/vásárol
driving,vezet/vezetés
congratulations,gratulálok
wrote,írt
village,falu
quit,abbahagy/felmondani
field,mező/terület
wine,bor
decision,döntés
south,dél
sleeping,alszik/alvás
slow,lassú
laughter,nevetés
island,sziget
glass,üveg/pohár
beginning,kezdet/eleje
cash,készpénz
dying,hal/haldoklik
hundred,száz
whose,akinek/kinek a
difference,különbség
plane,repülőgép/sík
push,tol/nyom
continues,folytatódik
mmm,mmm/hm
singing,énekel/éneklés
eating,eszik/evés
north,észak
mrs,asszony (rövidítés)
tree,fa
madam,hölgyem/asszonyom
gift,ajándék
truck,teherautó/kamion
putting,tesz/helyez
bear,medve/visel
board,tábla/bizottság
grab,megragad/kap
beer,sör
stuck,beragadt
magic,varázslat/mágia
support,támogat/támogatás
rules,szabályok
grunts,morog/nyög
partner,partner/társ
reach,elér
wind,szél
colonel,ezredes
max,Max (név)/maximum
immediately,azonnal
seconds,másodpercek
thousand,ezer
gives,ad
experience,tapasztalat/élmény
cheers,egészségére/köszönöm
victim,áldozat
upon,rá/-on/-en/-ön
computer,számítógép
christ,Krisztus
planet,bolygó
promised,ígért
bus,busz/autóbusz
dirty,piszkos/mocskos
search,keres/keresés
staying,marad
dreams,álmok/álmodik
arrest,letartóztat
holding,tart/tartás
suddenly,hirtelen/egyszer csak
usually,általában/rendszerint
lots,sok/rengeteg
shoes,cipők
er,ööö/hm
jump,ugrik/ugrás
rid,megszabadít/megszabadulni
yo,hé/yo
knock,kopog/ütés
owe,tartozik
grow,nő/növekszik
worst,legrosszabb
river,folyó
aunt,nagynéni
patient,beteg/türelmes
kitchen,konyha
aah,áá/ó
fat,kövér/zsír
passed,elment/átment
final,végső/döntő
summer,nyár
listening,hallgat
escape,szökés/megszökik
everywhere,mindenhol
moon,hold
arms,karok/fegyverek
turns,fordul/fordulatok
address,cím/megszólít
ow,jaj/au
match,mérkőzés/gyufa
gasps,zihál/levegő után kap
grand,nagy/tízezer dollár
yep,jap/igen
shh,csitt/pszt
nervous,ideges
choose,választ
themselves,önmaguk/magukat
decide,dönt
mate,haver/pár
drinking,iszik/ivás
press,nyom/sajtó
bother,zavar/baj
foot,láb
hadn,nem volt (rövidítés)
blame,hibáztat/vád
crap,szar/vacak
drugs,drogok/gyógyszerek
type,típus/gépel
rings,gyűrűk/cseng
mission,küldetés/misszió
named,nevezett/nevezték
heaven,mennyország/égbolt
ii,II. (második)
picked,választott/szedett
paris,Párizs
race,verseny/faj
risk,kockázat/kockáztat
books,könyvek
further,tovább/messzebb
action,cselekvés/akció
allowed,megengedett/engedélyezett
orders,parancsok/rendelések
learned,tanult/megtanult
price,ár
arrived,megérkezett
nick,Nick (név)/bevág
otherwise,különben/másként
pictures,képek
fit,illik/fit
smoke,füst/dohányzik
favor,szívesség/javára
played,játszott
notice,észrevesz/értesítés
awesome,nagyszerű/klassz
smile,mosoly/mosolyog
director,igazgató/rendező
guard,őr/őriz
begin,kezd
spot,hely/folt
surprised,meglepett
innocent,ártatlan
narrator,narrátor/elbeszélő
herself,önmaga/maga (nő)
london,London
feelings,érzések
enemy,ellenség
battle,csata/harc
ourselves,önmagunk/magunkat
dollars,dollárok
allow,enged/megenged
nine,kilenc
gay,meleg/vidám
department,osztály/részleg
guilty,bűnös
apart,külön/egymástól
earlier,korábban
duty,kötelesség/szolgálat
suit,öltöny/illik
bell,harang/csengő
west,nyugat
legs,lábak
hero,hős
destroy,elpusztít/lerombol
stage,színpad/szakasz
bunch,csokor/csomó
according,szerint
chicken,csirke
bigger,nagyobb
grunting,morog/nyög
low,alacsony/alacsony
helping,segít/segítés
admit,beismer
closed,zárt/bezárt
names,nevek
witness,tanú
upstairs,emeleten/fent
arm,kar/felfegyverez
steal,lop
kick,rúg/rúgás
twice,kétszer
cross,kereszt/átszel
ways,módok/utak
sergeant,őrmester
indeed,valóban/csakugyan
gas,gáz/benzin
keeping,tart/megtart
energy,energia/erő
pregnant,terhes/várandós
waste,pazarlás/hulladék
helped,segített
fired,kirúgott/lőtt
favorite,kedvenc
taste,íz/ízlel
locked,zárt/bezárt
places,helyek
writing,írás/ír
brothers,fivérek/testvérek
starts,kezdődik/kezd
prince,herceg
form,forma/űrlap
sold,eladott
silly,buta/ostoba
mention,említ
build,épít
throat,torok/gége
hole,lyuk
figured,kitalálta/gondolta
track,pálya/nyom
ringing,cseng
lock,zár/lakat
leg,láb
above,fölött/fent
hiding,rejt/rejtőzködik
seemed,úgy tűnt
breakfast,reggeli
engine,motor/gép
written,írt/írott
complete,teljes/befejez
video,videó
applause,taps
however,azonban/mindazonáltal
pressure,nyomás
fresh,friss
weapon,fegyver
sky,ég/égbolt
ms.,kisasszony/ms.
stole,lopott
study,tanulmány/tanul
burn,ég/éget
reading,olvasás/olvas
crowd,tömeg
treat,kezel/csemege
roll,tekercs/gurul
double,dupla/kettős
spirit,szellem/lélek
danger,veszély
cost,költség/kerül
empty,üres/kiürít
level,szint
memory,emlékezet/memória
itself,önmaga/maga
acting,színészet/játszik
interest,érdeklődés/kamat
nose,orr
plans,tervek
following,követő/következő
bathroom,fürdőszoba
built,épült/épített
closer,közelebb
ray,Ray (név)/sugár
band,zenekar/szalag
groans,nyög/nyögés
apparently,látszólag/állítólag
excited,izgatott/lelkes
losing,veszít
animals,állatok
flight,repülés/járat
nature,természet
raise,emel/nevel
pop,pop/durr
client,ügyfél
bomb,bomba
neck,nyak
suspect,gyanúsított/gyanúsít
warm,meleg
extra,extra/külön
bottle,üveg/palack
van,furgon
heavy,nehéz/súlyos
mommy,anyu/anyuci
dogs,kutyák
wild,vad
ridiculous,nevetséges
simply,egyszerűen
animal,állat
showed,mutatott
shooting,lövöldözés/forgatás
keeps,tart/megtart
camp,tábor
guns,fegyverek
medical,orvosi/egészségügyi
shame,szégyen
hoping,remél
whom,kit/akit
bird,madár
majesty,felség
flowers,virágok
famous,híres
asleep,alszik
beauty,szépség
driver,sofőr/vezető
keys,kulcsok
rain,eső/esik
awful,szörnyű/rettenetes
large,nagy
local,helyi
deserve,megérdemel
goddamn,istenverte/átkozott
stone,kő
grace,kegyelem/grácia
consider,fontolgat/mérlegelni
weekend,hétvége
wondering,kíváncsi/tűnődik
lay,fekszik/fektet
plenty,bőven/rengeteg
willing,hajlandó
pants,nadrág
sweetheart,édesem/drágám
skin,bőr
excellent,kitűnő/kiváló
asshole,seggfej/barom
beach,strand/tengerpart
faith,hit/bizalom
beg,könyörög/kérlel
fuckin,kibaszott (rövidítés)
responsible,felelős
military,katonai/hadsereg
cheering,ujjong/éljenzés
opportunity,lehetőség/alkalom
common,közös/gyakori
bottom,fenék/alsó
german,német
whoever,bárki/aki
cook,főz/szakács
walked,sétált
papers,papírok/iratok
justice,igazságszolgáltatás
hall,hall/csarnok
commander,parancsnok
drug,drog/gyógyszer
main,fő/fő-
knife,kés
devil,ördög
necessary,szükséges
although,bár/habár
princess,hercegnő
lights,lámpák/fények
flying,repül/repülés
dick,Dick (név)/fasz
rose,Rose (név)/rózsa
knowing,tudó/tudva
clearly,világosan/egyértelműen
hat,kalap
agreed,beleegyezett/egyetértett
corner,sarok
code,kód
note,jegyzet/hangjegy
due,esedékes/miatt
correct,helyes/javít
apologize,bocsánatot kér
language,nyelv
stars,csillagok
faster,gyorsabb
cars,autók
folks,emberek/népek
bullshit,baromság/szarság
i.,I. (első - rövidítés)
fellow,fickó/tag
several,több/számos
grandma,nagymama/nagyi
shows,mutatások/műsorok
leader,vezető/vezér
leaves,levelek/elmegy
restaurant,étterem/vendéglő
east,kelet
shouting,kiált/kiabál
blind,vak
ghost,szellem/kísértet
cup,csésze/pohár
gotten,kapott/lett (amerikai)
tight,szoros/feszes
conversation,beszélgetés
tells,mond/mesél
lies,hazugságok/fekszik
nor,sem
pulled,húzott
hanging,lóg/függeszkedik
speed,sebesség
stories,történetek
health,egészség
advice,tanács
held,tartott/fogott
uh-huh,ühüm/igen
murdered,meggyilkoltak
beyond,túl/azon túl
rule,szabály/uralkodik
hardly,alig
possibly,esetleg/lehetségesen
inspector,felügyelő/nyomozó
